NYC_Poverty_Rate,Median_Income,Perc_White,Perc_Black,Perc_Asian,Perc_Other,Perc_Hispanic,Percent_Passed_Inspection,Borough
0.1520,30437.00,0.324,0.124,0.052,0.023,0.477,0.2480,Bronx
0.2320,26136.00,0.069,0.655,0.026,0.023,0.226,0.2480,Bronx
0.2640,18674.00,0.066,0.154,0.061,0.022,0.696,0.2480,Bronx
0.1400,31573.00,0.293,0.285,0.030,0.022,0.371,0.2480,Bronx
0.2050,25358.00,0.218,0.215,0.076,0.022,0.470,0.2480,Bronx
0.3080,14213.00,0.045,0.301,0.008,0.011,0.635,0.2480,Bronx
0.3440,15628.00,0.013,0.274,0.015,0.011,0.688,0.2480,Bronx
0.3230,16710.00,0.017,0.308,0.017,0.018,0.641,0.2480,Bronx
0.2640,20300.00,0.028,0.288,0.071,0.029,0.584,0.2480,Bronx
0.2930,15510.00,0.016,0.282,0.008,0.012,0.682,0.2480,Bronx
0.1730,35889.00,0.631,0.042,0.073,0.021,0.233,0.2644,Brooklyn
0.2820,19274.00,0.021,0.742,0.015,0.012,0.211,0.2644,Brooklyn
0.1900,30858.00,0.573,0.015,0.240,0.018,0.154,0.2644,Brooklyn
0.2510,22264.00,0.148,0.183,0.048,0.016,0.605,0.2644,Brooklyn
0.2260,24627.00,0.231,0.530,0.032,0.020,0.188,0.2644,Brooklyn
0.1210,44313.00,0.447,0.261,0.092,0.042,0.158,0.2644,Brooklyn
0.0950,57393.00,0.646,0.068,0.064,0.047,0.175,0.2644,Brooklyn
0.2140,29895.00,0.213,0.593,0.037,0.034,0.122,0.2644,Brooklyn
0.2980,22796.00,0.038,0.522,0.045,0.024,0.371,0.2644,Brooklyn
0.1500,32210.00,0.230,0.630,0.044,0.017,0.080,0.2644,Brooklyn
0.1900,27248.00,0.022,0.873,0.014,0.017,0.074,0.2644,Brooklyn
0.2210,26140.00,0.198,0.663,0.018,0.025,0.096,0.2644,Brooklyn
0.2940,20787.00,0.223,0.026,0.324,0.016,0.412,0.2644,Brooklyn
0.2830,21103.00,0.707,0.023,0.140,0.020,0.109,0.2644,Brooklyn
0.2210,25708.00,0.396,0.320,0.105,0.027,0.151,0.2644,Brooklyn
0.1940,29307.00,0.691,0.038,0.159,0.020,0.091,0.2644,Brooklyn
0.2300,23329.00,0.442,0.009,0.391,0.015,0.144,0.2644,Brooklyn
0.2400,19345.00,0.575,0.106,0.145,0.025,0.150,0.2644,Brooklyn
0.2350,24561.00,0.286,0.215,0.083,0.037,0.379,0.1994,Manhattan
0.1000,73067.00,0.694,0.032,0.158,0.029,0.087,0.1994,Manhattan
0.1990,20421.00,0.178,0.078,0.027,0.015,0.701,0.1994,Manhattan
0.2110,26075.00,0.131,0.571,0.032,0.032,0.236,0.1994,Manhattan
0.2310,19510.00,0.152,0.298,0.075,0.023,0.452,0.1994,Manhattan
0.0730,71933.00,0.761,0.028,0.093,0.028,0.090,0.1994,Manhattan
0.0900,65844.00,0.677,0.060,0.092,0.026,0.144,0.1994,Manhattan
0.1080,65905.00,0.609,0.054,0.162,0.028,0.146,0.1994,Manhattan
0.1800,25667.00,0.331,0.079,0.311,0.031,0.249,0.1994,Manhattan
0.0880,79181.00,0.716,0.022,0.159,0.032,0.070,0.1994,Manhattan
0.1830,31658.00,0.478,0.063,0.159,0.029,0.272,0.4030,Queens
0.2710,21889.00,0.063,0.079,0.332,0.019,0.507,0.4030,Queens
0.1890,27016.00,0.216,0.151,0.210,0.166,0.257,0.4030,Queens
0.2540,22853.00,0.100,0.048,0.169,0.015,0.667,0.4030,Queens
0.2520,25517.00,0.256,0.021,0.521,0.025,0.176,0.4030,Queens
0.1350,37432.00,0.413,0.018,0.427,0.024,0.118,0.4030,Queens
0.1320,32961.00,0.117,0.561,0.150,0.055,0.117,0.4030,Queens
0.2200,30239.00,0.316,0.114,0.339,0.044,0.186,0.4030,Queens
0.1630,41029.00,0.512,0.029,0.272,0.031,0.157,0.4030,Queens
0.2040,31245.00,0.281,0.013,0.352,0.023,0.332,0.4030,Queens
0.1860,31420.00,0.531,0.015,0.084,0.013,0.358,0.4030,Queens
0.2190,26357.00,0.179,0.058,0.263,0.081,0.418,0.4030,Queens
0.2040,25946.00,0.017,0.621,0.116,0.077,0.169,0.4030,Queens
0.1790,25920.00,0.350,0.353,0.039,0.022,0.235,0.4030,Queens
0.1140,40637.00,0.836,0.009,0.047,0.011,0.097,0.2903,Staten Island
0.1440,35413.00,0.683,0.037,0.125,0.019,0.136,0.2903,Staten Island
0.2120,31347.00,0.381,0.221,0.075,0.031,0.293,0.2903,Staten Island